University,Status,Target Major,Term,Q,V,AWA,GRE,TOEFL/IELTS,UG College ,UG Major,CGPA,Papers,Work EX
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,166,149,3.5,315,92,Shri Ramdeobaba College of Engineering,ECE,86.8,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,162,152,0,314,92,N/A,N/A,N/A,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,164,147,3.5,311,92,"AP Shah Institute Of Technology, Thane",Computer Science,9.2,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,159,144,3,303,93,"Vidyalankar Institute of Technology, Mumbai",Computer Science,6.9,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,166,144,3,310,93,N/A,N/A,N/A,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,165,147,3.5,312,93,NMIMS Mukesh Patel School of Technology Management and Engineering,Computer Science,91,1,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,161,148,3,309,93,sppu,Computer Science,8.6,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,158,150,4,308,94,Manipal U,Computer Science,8.49,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,157,146,3.5,303,94,St. Joseph's Institute Of Technology,Computer Science,8.41,N/A,13 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,154,144,3.5,298,94,Symbiosis Institute of Computer Studies and Research,Computer Science,7.3,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,157,148,0,305,94,K. J. Somaiya College of Engineering,Computer Science,65,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,147,164,2.5,311,94,Dharmsinh Desai University,Computer Science,8.2,0,20 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,160,149,3.5,309,94,Uiet,Computer Science,69,N/A,32 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Spring 2016,167,150,4,317,94,Sreenidhi Institute of Science and Technology,Information Technology,68,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Spring 2019,165,146,3,311,95,SRM University,Information Technology,8.79,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,164,149,3,313,95,Manipal Institute of Technology,Computer Science,8.5,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2014,165,152,3.5,317,95,Ljiet,Information Technology,6.9,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,156,148,3.5,304,96,NMIMS Mukesh Patel School of Technology Management and Engineering,Information Technology,67.5,1,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2016,156,148,0,304,96,Hindustan Institute of Technology,Information Technology,68,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,162,146,3,308,96,LD College of Engineering,Computer Science,7.34,1,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,161,147,3,308,96,M S Ramaiah Institute of Technology,Telecommunication Engineering,8.6,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,164,141,3,305,96,Vasavi College of Engineering,Computer Science,75,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,165,150,3,315,96,"L.D. College of Engineering, Ahmedabad",Information Technology,7.55,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,161,146,3,307,97,K. J. Somaiya College of Engineering,Information Technology,56,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,166,142,4.5,308,97,St.Francis Institute of Technology,Information Technology,6.9,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,159,148,3.5,307,97,K. J. Somaiya College of Engineering,Information Technology,6.68,1,16 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,160,154,4,314,97,"Osmania university , Hyderabad",Information Technology,70,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,162,147,3,309,97,"Atharva College Of Engineering, Malad",Information Technology,64,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,157,150,4,307,97,"Shah and Anchor kutchhi college of engineering, Mumbai",Computer Science,9.15,0,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,163,154,3,317,97,"institute of management studies, DAVV",Instrumentation Engineering,72,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,161,144,N/A,305,97,Thakur College of Engineering and Technology,Information Technology,8.07,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2016,160,156,4,316,98,"Sardar Vallabhbhai Patel Institute of Technology, Vasad",Computer Science,6,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,168,140,3.5,308,98,Dharmsinh Desai University,Computer Science,7.6,N/A,6 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,162,146,3,308,98,Dayananda Sagar College of Engineering,ECE,74,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,159,146,2.5,305,98,Bangalore Institute of Technology,Computer Science,74.1,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,153,0,319,98,"P.E.S. Institute of Technology, Bangalore",EEE,8.74,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,162,143,3,305,98,Vignans Institute Of Management And Technology For Women,ECE,68,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,144,3,311,99,Ahmedabad University,Information Technology,7.95,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,157,153,3.5,310,99,University of Pune,Computer Science,71,2,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,160,140,3,300,99,Shri Ramswaroop Memorial College Of Engineering and Management,Computer Science,74.18,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,163,149,4,312,99,Rajiv Gandhi Institute of Technology,Information Technology,63.31,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,165,153,4,318,99,Chaitanya Bharathi Institute of Technology,ECE,81,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,162,149,3.5,311,99,Visvesvaraya Technological University,Computer Science,79,1,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,164,154,3.5,318,99,VJTI,Information Technology,7.8,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,167,150,3.5,317,99,PICT,Information Technology,8.72,0,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,161,150,3,311,100,"Atharva College Of Engineering, Malad",Information Technology,7.64,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,166,144,3,310,100,University of Mumbai,Computer Science,62.56,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,162,149,3,311,100,Global Institute of Technology,ECE,73.7,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,159,153,3.5,312,100,K. J. Somaiya Institute of Engineering and IT,Computer Science,70,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,160,149,3,309,100,Pimpri Chinchwad College Of Engineering,Computer Science,70,N/A,12 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,157,148,0,305,100,N/A,N/A,N/A,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,160,153,3.5,313,100,Viswajyothi College of Engineering,Computer Science,3.68,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,159,150,3,309,100,DJ Sanghvi College of Engineering,Computer Science,75,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2013,168,151,3,319,100,NIT Surathkal,Computer Science,8.1,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,159,151,3,310,101,BRCM college of Engineering and Technology,Computer Science,68,N/A,30 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,162,149,3,311,101,"L.D. College of Engineering, Ahmedabad",Computer Science,7.06,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,169,150,3,319,101,SVITS,Computer Science,7.57,0,4 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,164,145,3,309,101,Shaheed sukhdev college of business studies,Computer Science,85.2,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,164,154,4,318,101,Visvesvaraya Technological University,ECE,74.54,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,160,147,3.5,307,101,K. J. Somaiya College of Engineering,Computer Science,9.32,N/A,17 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Spring 2019,161,148,3,309,101,"CMRIT , KANDLAKOYA ,",ECE,78,N/A,50 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,167,149,3,316,101,Sardar Patel university anand,ECE,8,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,162,149,3.5,311,102,MBM Engineering College,Computer Science,67.8,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,156,152,4,308,102,Shree L R Tiwari College Of Engineering,Computer Science,7.66,3,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,165,154,3,319,102,Vellore Institute of Technology,Mechanical Engineering,8.5,N/A,6 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,167,149,3,316,102,"Thapar University, Punjab",Computer Science,8.41,N/A,18 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,163,4,329,102,Dhirubhai Ambani Institute of Information & Communication Technology (DA-II,Information Technology,7.15,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,169,151,3,320,102,Dayananda Sagar College of Engineering,Information Technology,77,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,167,151,4,318,102,Fergusson College,Computer Science,65.4,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,161,146,4,307,102,SRM University,Computer Science,87.75,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,156,147,3.5,303,103,"College of Engineering, Guindy",Computer Science,6.96,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,167,149,3.5,316,103,NIT Surat,Computer Science,8.62,N/A,16 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,170,151,4,321,103,"Fr. C. Rodrigues Institute Of Technology, Vashi",Computer Science,9,0,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,164,144,4,308,103,Sardar Patel Institute of Technology,Computer Science,9.07,1,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,157,148,3.5,305,104,Thakur College of Engineering and Technology,Information Technology,7,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,158,159,4,317,104,vaish college of engineering,Computer Science,79,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,159,150,4,309,104,"ITM UNIVERSE ,VADODARA,GUJARAT",Computer Science,8.51,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2017,157,149,3,306,104,SJB Institute Of Technology,Computer Science,84,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,161,154,3.5,315,104,DJ Sanghvi College of Engineering,Computer Science,8.54,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,165,152,4,317,104,skncoe vadgoan,Computer Science,60.44,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,159,3,325,104,Thakur College of Engineering and Technology,Information Technology,6.89,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,166,145,4,311,104,"P.E.S. Institute of Technology, Bangalore",Computer Science,9.1,0,17 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,163,153,3.5,316,104,NMIMS Mukesh Patel School of Technology Management and Engineering,Computer Science,9.2,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,162,154,3.5,316,104,"Fr. Conceicao Rodrigues College Of Engineering, Bandra",Information Technology,6.94,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,168,153,3.5,321,105,"BITS Pilani, Dubai Campus",Computer Science,7.58,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,167,152,3,319,105,Nirma University,Instrumentation Engineering,7.51,N/A,38 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,158,149,N/A,307,105,Rajiv Gandhi Institute of Technology,Computer Science,6.8,1,10 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2019,158,149,3.5,307,105,Ljiet,Computer Science,8,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,166,153,3,319,105,SSN College of Engineering,Computer Science,6.8,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,154,150,3.5,304,105,"KCG College of Technology (KC Tech), Karapakkam, OMR",Information Technology,8.01,1,29 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,165,160,4,325,105,Sree Chitra thirunal college,ECE,6.32,N/A,27 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,161,144,3,305,105,K. J. Somaiya College of Engineering,Computer Science,8.23,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,163,152,3,315,105,Father Conceicao Rodrigues College of Engineering,Production Engineering,6.9,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,162,152,4,314,105,Rajiv Gandhi Institute of Technology,Computer Science,8.47,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,169,153,3.5,322,105,Dhirubhai Ambani Institute of Information & Communication Technology (DA-II,Computer Science,7.06,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,162,152,4,314,105,DJ Sanghvi College of Engineering,Computer Science,7.66,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,161,156,3,317,106,Indus university,Computer Science,6,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,166,147,4,313,106,Maharaja Agrasen Institute of Technology,Computer Science,73.9,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,164,152,2.5,316,106,University College of Engineering RTU Kota,Information Technology,60.88,0,17 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,167,153,4,320,106,DJ Sanghvi College of Engineering,Computer Science,8.68,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,162,152,4,314,106,DJ Sanghvi College of Engineering,Computer Science,8.39,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,163,150,3,313,106,NIT Calicut,Computer Science,7.67,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,155,152,5,307,107,"MPSTME, NMIMS University",Computer Science,69.74,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,168,150,4,318,107,"Institute Of Technology, Nirma University",ECE,8.18,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,157,146,4,303,107,Parul University,Computer Science,7.7,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,164,152,3,316,107,Vellore Institute of Technology,Information Technology,8.76,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,161,161,0,322,107,University of Petroleum and Energy Studies,Computer Science,88,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2014,170,156,4,326,108,Maharashtra Institute of Technology,Computer Science,56,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,169,152,4,321,108,"Vidyalankar Institute of Technology, Mumbai",Computer Science,59.11,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,164,151,4,315,108,Ahmedabad University,Computer Science,83.3,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,158,155,0,313,108,"Shah and Anchor kutchhi college of engineering, Mumbai",Information Technology,65,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,160,151,4,311,108,DJ Sanghvi College of Engineering,Computer Science,9.3,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,162,154,4.5,316,108,SSN College of Engineering,Computer Science,8.07,N/A,30 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2013,155,157,3,312,108,"Atharva College Of Engineering, Malad",Information Technology,69,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,151,166,4,317,108,DJ Sanghvi College of Engineering,Computer Science,8,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,164,150,3.5,314,108,"Amity University, Noida",Computer Science,8.7,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,167,154,3.5,321,109,sarvajanik college of engineering and technology,Computer Science,7.5,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,166,158,4,324,109,NIT Surathkal,Information Technology,8.16,1,30 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,160,159,3,319,109,NMIMS Mukesh Patel School of Technology Management and Engineering,ECE,66,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,168,161,4,329,109,Vellore Institute of Technology,Computer Science,8.7,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,161,157,4,318,109,University of Mumbai,Computer Science,68,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,159,157,4,316,110,West Bengal University of Technology,Computer Science,8.41,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,165,160,4,325,110,Vellore Institute of Technology,Computer Science,7.68,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Spring 2019,163,156,4.5,319,110,Medicap Institute of Technology & Management,Computer Science,7.2,0,2 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,165,159,4,324,110,upes,Computer Science,6.5,N/A,18 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,154,4,320,110,Veermata Jijabai Technological Institute,Computer Science,71,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,N/A,N/A,N/A,N/A,110,College Of Engineering Pune,Information Technology,7.75,N/A,6 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,163,159,4,322,110,"Indian Institute of Information Technology, Sri City",Computer Science,8.8,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,158,156,3,314,111,"narsee monjee institute of technology management and engineering, vile parl",ECE,8.32,N/A,23 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,165,152,N/A,317,111,BNM Institute Of Technology,Computer Science,72.48,N/A,28 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,165,152,3.5,317,111,DJ Sanghvi College of Engineering,Computer Science,8.12,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,166,165,4,331,112,N/A,N/A,N/A,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,151,3.5,318,112,NMIMS Mukesh Patel School of Technology Management and Engineering,Computer Science,78,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,161,154,4,315,113,K. J. Somaiya College of Engineering,Information Technology,59,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,163,154,4,317,113,DJ Sanghvi College of Engineering,Computer Science,71.3,1,16 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,156,4,322,113,K. J. Somaiya College of Engineering,Information Technology,7.75,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,164,151,4,315,114,Dharmsinh Desai University,Computer Science,6.52,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,167,163,4,330,114,JADAVPUR UNIVERSITY,Chemical Engineering,7.2,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,152,4,319,114,Veermata Jijabai Technological Institute,Information Technology,8.68,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,161,160,0,321,114,jamia Hamdard,Computer Science,6.8,0,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,164,160,0,324,114,N/A,N/A,N/A,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,165,155,4,320,114,"P.E.S. Institute of Technology, Bangalore",Information Technology,74,N/A,18 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,168,157,3,325,115,Gitam University,Computer Science,8.5,0,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,165,161,4,326,115,K. J. Somaiya College of Engineering,Computer Science,6.78,1,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,167,163,4.5,330,115,Ramrao Adik Institute of Technology,Computer Science,62,N/A,18 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,155,4,322,115,Muffakham Jah College of Engineering and Technology,Computer Science,67.5,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,162,153,5,315,116,Maharashtra Institute of Technology,Computer Science,59.5,N/A,0 Mo

NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,155,4.5,322,116,"Watumull Institute Of Electronics Engineering And Computer Technology, Worl",Computer Science,9,N/A,0 Mo

NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,167,158,4.5,325,117,"Fr. Conceicao Rodrigues College Of Engineering, Bandra",EEE,8.18,N/A,0 Mo

